Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Exclusive,StreamPL
106,Gilmore Girls,2000,16+,8.1,85%,1,0,0,0,1,1,N
107,iZombie,2015,16+,7.9,91%,1,0,0,0,1,1,N
108,Anne with an E,2017,7+,8.6,62%,1,0,0,0,1,1,N
109,A Series of Unfortunate Events,2017,7+,7.8,96%,1,0,0,0,1,1,N
110,Neon Genesis Evangelion,1995,16+,8.5,100%,1,0,0,0,1,1,N
111,Into the Badlands,2015,16+,8.0,83%,1,0,0,0,1,1,N
112,Monty Python's Flying Circus,1969,16+,8.8,100%,1,0,0,0,1,1,N
113,Jane the Virgin,2014,7+,7.8,100%,1,0,0,0,1,1,N
114,Halt and Catch Fire,2014,16+,8.4,90%,1,0,0,0,1,1,N
115,Grace and Frankie,2015,7+,8.3,89%,1,0,0,0,1,1,N
116,NCIS,2003,16+,7.8,40%,1,0,0,0,1,1,N
117,Weeds,2005,18+,7.9,70%,1,0,0,0,1,1,N
118,GLOW,2017,18+,8.0,93%,1,0,0,0,1,1,N
119,Person of Interest,2011,16+,8.4,,1,0,0,0,1,1,N
120,13 Reasons Why,2017,18+,7.8,39%,1,0,0,0,1,1,N
121,Godless,2017,16+,8.3,85%,1,0,0,0,1,1,N
122,Locked Up,2015,16+,8.3,100%,1,0,0,0,1,1,N
124,Gossip Girl,2008,16+,7.4,84%,1,0,0,0,1,1,N
125,Unbreakable Kimmy Schmidt,2015,16+,7.6,96%,1,0,0,0,1,1,N
126,Lost in Space,2018,7+,7.3,75%,1,0,0,0,1,1,N
127,Scandal,2012,16+,7.7,93%,1,0,0,0,1,1,N
129,One Day at a Time,2017,7+,8.2,99%,1,0,0,0,1,1,N
130,DC's Legends of Tomorrow,2016,16+,6.8,87%,1,0,0,0,1,1,N
131,Manhunt,2017,16+,8.1,93%,1,0,0,0,1,1,N
133,Charmed,1998,16+,7.1,75%,1,0,0,0,1,1,N
134,The Dragon Prince,2018,7+,8.4,100%,1,0,0,0,1,1,N
135,Locke & Key,2020,16+,7.4,67%,1,0,0,0,1,1,N
136,Alias Grace,2017,18+,7.8,99%,1,0,0,0,1,1,N
137,American Vandal,2017,16+,8.2,97%,1,0,0,0,1,1,N
138,Santa Clarita Diet,2017,18+,7.8,89%,1,0,0,0,1,1,N
139,Maniac,2018,16+,7.8,85%,1,0,0,0,1,1,N
